К;Отвод внутренний 110 мм. 87° однораструбный;шт.;;103;;1;о;к;;00-00000179;;;закупка;32,4;;;;;;Отвод внутренний 110 мм. 87° однораструбный;;;;;;;;;;;;
К;Отвод внутренний 50 мм, 15° однораструбный;шт.;;33;;1;о;к;;00-00000180;;;закупка;14,4;;;;;;Отвод внутренний 50 мм, 15° однораструбный;;;;;;;;;;;;
К;Отвод внутренний 50 мм, 30° однораструбный;шт.;;33;;1;о;к;;00-00000181;;;закупка;12,6;;;;;;Отвод внутренний 50 мм, 30° однораструбный;;;;;;;;;;;;
К;Отвод внутренний 50 мм, 45° однораструбный;шт.;;33;;1;о;к;;00-00000182;;;закупка;10,8;;;;;;Отвод внутренний 50 мм, 45° однораструбный;;;;;;;;;;;;
К;Отвод внутренний 50 мм, 87° однораструбный;шт.;;33;;1;о;к;;00-00000183;;;закупка;10,8;;;;;;Отвод внутренний 50 мм, 87° однораструбный;;;;;;;;;;;;
К;Отвод наружный 110 мм, 15° однораструбный;шт.;;118;;1;о;к;;00-00000184;;;закупка;41,65;;;;;;Отвод наружный 110 мм, 15° однораструбный;;;;;;;;;;;;
К;Отвод наружный 110 мм, 30° однораструбный;шт.;;118;;1;о;к;;00-00000185;;;закупка;43,35;;;;;;Отвод наружный 110 мм, 30° однораструбный;;;;;;;;;;;;
К;Отвод наружный 110 мм, 45° однораструбный;шт.;;118;;1;о;к;;00-00000186;;;закупка;40,8;;;;;;Отвод наружный 110 мм, 45° однораструбный;;;;;;;;;;;;
К;Отвод наружный 110 мм, 87° однораструбный;шт.;;118;;1;о;к;;00-00000187;;;закупка;40,8;;;;;;Отвод наружный 110 мм, 87° однораструбный;;;;;;;;;;;;
К;Отвод наружный 160 мм, 15° однораструбный;шт.;;357;;1;о;к;;00-00000188;;;бух;261,55;;;;;;Отвод наружный 160 мм, 15° однораструбный;;;;;;;;;;;;
;Пеноплэкс ЭП Комфорт 1200х600х30 мм Г4;лист;;125;;1;;;;00-00000189;;;закупка;91,46;;;;;;Пеноплэкс ЭП Комфорт 1200х600х30 мм Г4;;;;;;;;;;;;
НК;Стяжка для кабеля 2,6х200мм черная (100 шт) ДКС;упак.;;175;;1;;;;00-00000190;;;закупка;142;;;;;;Стяжка для кабеля 2,6х200мм черная (100 шт) ДКС;;;;;;;;;;;;
К, В;Теплоизоляция для труб 34х9х2000 мм Стенофлекс;шт.;;45;;1;;;;00-00000191;;;закупка;37;;;;;;Теплоизоляция для труб 34х9х2000 мм Стенофлекс;;;;;;;;;;;;
К;Тройник внутренний 110х110 мм. двухраструбный 87°;шт.;1;160;160;1;т;к;;00-00000192;;;закупка;61,2;;;;;;Тройник внутренний 110х110 мм. двухраструбный 87°;;;;;;;;;;;;
к;Тройник внутренний 110х50 мм, 45° двухраструбный;шт.;;99;;1;т;к;;00-00000193;;;закупка;43,2;;;;;;Тройник внутренний 110х50 мм, 45° двухраструбный;;;;;;;;;;;;
