
00-00000387;Станция БиоДека 15 С 1000                                      со скидкой;шт.;1;169000;160600;БиоДека;;15;;С;1000;БиоДека5…;109850;25000;10500;15500;;2;2;2,57;6;4,9;7,88130688;13,64290688;;;;;15,9552;21,7168;600;
00-00000388;Станция БиоДека 15 П 1000                                      со скидкой;шт.;1;171000;162600;БиоДека;;15;;П;1000;БиоДека5…;111150;25000;10500;15500;;2;2;2,57;6;4,9;7,88130688;13,64290688;;;;;15,9552;21,7168;600;
00-00000389;Станция БиоДека 15 С 1500                                      со скидкой;шт.;1;176840;168000;БиоДека;;15;;С;1500;БиоДека5…;114946;28000;10500;15500;;2;2;3,07;6;4,9;9,190510553;15,99211055;;;;;18,8352;25,6368;800;
00-00000390;Станция БиоДека 15 П 1500                                      со скидкой;шт.;1;178840;170000;БиоДека;;15;;П;1500;БиоДека5…;116246;28000;10500;15500;;2;2;3,07;6;4,9;9,190510553;15,99211055;;;;;18,8352;25,6368;800;
00-00000391;Станция БиоДека 20 С 800                                      со скидкой;шт.;1;215050;204300;БиоДека;;20;;С;800;БиоДека5…;139782,5;26000;11500;16500;;2,16;2,16;2,36;6;5,7;8,129341336;13,78182134;;;;;16,777216;22,429696;500;
00-00000392;Станция БиоДека 20 П 800                                      со скидкой;шт.;1;217050;206300;БиоДека;;20;;П;800;БиоДека5…;141082,5;26000;11500;16500;;2,16;2,16;2,36;6;5,7;8,129341336;13,78182134;;;;;16,777216;22,429696;500;
00-00000393;Станция БиоДека 20 С 1000                                      со скидкой;шт.;1;221650;210600;БиоДека;;20;;С;1000;БиоДека5…;144072,5;27000;11500;16500;;2,16;2,16;2,57;6;5,8;8,736083065;14,85224307;;;;;18,153472;24,269632;600;
00-00000394;Станция БиоДека 20 П 1000                                      со скидкой;шт.;1;223650;212600;БиоДека;;20;;П;1000;БиоДека5…;145372,5;27000;11500;16500;;2,16;2,16;2,57;6;5,8;8,736083065;14,85224307;;;;;18,153472;24,269632;600;
00-00000395;Станция БиоДека 20 С 1500                                      со скидкой;шт.;1;236420;224600;БиоДека;;20;;С;1500;БиоДека5…;153673;30000;11500;16500;;2,16;2,16;3,07;6;5,8;10,18070623;17,40086623;;;;;21,430272;28,650432;800;
00-00000396;Станция БиоДека 20 П 1500                                      со скидкой;шт.;1;238420;226600;БиоДека;;20;;П;1500;БиоДека5…;154973;30000;11500;16500;;2,16;2,16;3,07;6;5,8;10,18070623;17,40086623;;;;;21,430272;28,650432;800;
00-00001899;Станция Genesis 350;шт.;1;152400;121920;Genesis;;5;;С;600;Genesis;67056;16000;7500;12500;;1,5;1,08;1,85;4;2,2;3,346684995;6,446284995;;;;;5,7646;8,8642;500;
00-00001900;Станция Genesis 350 ПР;шт.;1;167400;133920;Genesis;;5;;П;600;Genesis;73656;16000;7500;12500;;1,5;1,08;1,85;4;2,2;3,346684995;6,446284995;;;;;5,7646;8,8642;500;
00-00001901;Станция Genesis 500;шт.;1;187500;150000;Genesis;;8;;С;800;Genesis;82500;18000;8500;13500;;1,5;1,08;2,35;4;2,7;4,099194453;7,954794453;;;;;7,1706;11,0262;500;
00-00001902;Станция Genesis 500 ПР;шт.;1;202500;162000;Genesis;;8;;П;800;Genesis;89100;18000;8500;13500;;1,5;1,08;2,35;4;2,7;4,099194453;7,954794453;;;;;7,1706;11,0262;500;
