																							песок		цемент				котлован			
Артикул	Наименование	Ед. изм.	Кол-во	Цена	Стоимость	марка станции	производительность	расч на кол-во чел	фекальный нас	с/п	гл заложения подводящей трубы	используется для расчетов	Себестоимость	монтаж	ПНР	РШМ	якорение	дл	шир	выс	утепл	вода	вручную 0,2м	техника 0,4м	вручную 0,2м		техника 0,4м		вручную 0,2м	техника 0,4м	прокл тр	ширина грунтозацепов
																									кг	мешок	кг	мешок	0,2	0,4		
00-00000390	Станция БиоДека 15 П 1500                                      со скидкой	шт.	1	178 840	170 000	БиоДека		15		П	1 500	БиоДека5…	116 246	28 000	10 500	15 500		2,00	2,00	3,07	6	4,9	9,19	15,99					18,84	25,64	800	
00-00000391	Станция БиоДека 20 С 800                                      со скидкой	шт.	1	215 050	204 300	БиоДека		20		С	800	БиоДека5…	139 783	26 000	11 500	16 500		2,16	2,16	2,36	6	5,7	8,13	13,78					16,78	22,43	500	
00-00000392	Станция БиоДека 20 П 800                                      со скидкой	шт.	1	217 050	206 300	БиоДека		20		П	800	БиоДека5…	141 083	26 000	11 500	16 500		2,16	2,16	2,36	6	5,7	8,13	13,78					16,78	22,43	500	
00-00000393	Станция БиоДека 20 С 1000                                      со скидкой	шт.	1	221 650	210 600	БиоДека		20		С	1 000	БиоДека5…	144 073	27 000	11 500	16 500		2,16	2,16	2,57	6	5,8	8,74	14,85					18,15	24,27	600	
00-00000394	Станция БиоДека 20 П 1000                                      со скидкой	шт.	1	223 650	212 600	БиоДека		20		П	1 000	БиоДека5…	145 373	27 000	11 500	16 500		2,16	2,16	2,57	6	5,8	8,74	14,85					18,15	24,27	600	
00-00000395	Станция БиоДека 20 С 1500                                      со скидкой	шт.	1	236 420	224 600	БиоДека		20		С	1 500	БиоДека5…	153 673	30 000	11 500	16 500		2,16	2,16	3,07	6	5,8	10,18	17,40					21,43	28,65	800	
00-00000396	Станция БиоДека 20 П 1500                                      со скидкой	шт.	1	238 420	226 600	БиоДека		20		П	1 500	БиоДека5…	154 973	30 000	11 500	16 500		2,16	2,16	3,07	6	5,8	10,18	17,40					21,43	28,65	800	
00-00001899	Станция Genesis 350	шт.	1	152 400	121 920	Genesis		5		С	600	Genesis	67 056	16 000	7 500	12 500		1,50	1,08	1,85	4	2,2	3,35	6,45					5,76	8,86	500	
00-00001900	Станция Genesis 350 ПР	шт.	1	167 400	133 920	Genesis		5		П	600	Genesis	73 656	16 000	7 500	12 500		1,50	1,08	1,85	4	2,2	3,35	6,45					5,76	8,86	500	
00-00001901	Станция Genesis 500	шт.	1	187 500	150 000	Genesis		8		С	800	Genesis	82 500	18 000	8 500	13 500		1,50	1,08	2,35	4	2,7	4,10	7,95					7,17	11,03	500	
00-00001902	Станция Genesis 500 ПР	шт.	1	202 500	162 000	Genesis		8		П	800	Genesis	89 100	18 000	8 500	13 500		1,50	1,08	2,35	4	2,7	4,10	7,95					7,17	11,03	500	
00-00001903	Станция Genesis 500 L	шт.	1	208 200	166 560	Genesis		8		С	1 300	Genesis	91 608	21 000	8 500	13 500		1,50	1,08	2,85	4	2,7	4,85	9,46					8,58	13,19	800	
00-00001904	Станция Genesis 500 L ПР	шт.	1	223 200	178 560	Genesis		8		С	1 300	Genesis	98 208	21 000	8 500	13 500		1,50	1,08	2,85	4	2,7	4,85	9,46					8,58	13,19	800	
00-00001905	Станция Genesis 700	шт.	1			Genesis		10		С	800	Genesis		21 000	9 500	14 500		1,70	1,35	2,35	5	3,5	5,08	9,41					9,37	13,71	500	
00-00001906	Станция Genesis 700 ПР	шт.	1			Genesis		10		П	800	Genesis		21 000	9 500	14 500		1,70	1,35	2,35	5	3,5	5,08	9,41					9,37	13,71	500	
