																							песок		цемент				котлован			
Артикул	Наименование	Ед. изм.	Кол-во	Цена	Стоимость	марка станции	производительность	расч на кол-во чел	фекальный нас	с/п	гл заложения подводящей трубы	используется для расчетов	Себестоимость	монтаж	ПНР	РШМ	якорение	дл	шир	выс	утепл	вода	вручную 0,2м	техника 0,4м	вручную 0,2м		техника 0,4м		вручную 0,2м	техника 0,4м	прокл тр	ширина грунтозацепов
																									кг	мешок	кг	мешок	0,2	0,4		
00-00001940	Станция Топас-С 10 С 1400                                        со скидкой	шт.	1	171 900	154 710	Топас-С		10		С	1 400	Топас	120 330	24 000	9 500	14 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00001941	Станция Топас-С 10 П 1400                                        со скидкой	шт.	1	193 500	174 150	Топас-С		10		П	1 400	Топас	135 450	24 000	9 500	14 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00001942	Станция Топас-С 10 С 1400 Ус                                       со скидкой	шт.	1	200 300	180 270	Топас-С		10		С	1 400	Топас	140 210	24 000	9 500	14 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00001943	Станция Топас-С 10 П 1400 Ус                                       со скидкой	шт.	1	211 100	189 990	Топас-С		10		П	1 400	Топас	147 770	24 000	9 500	14 500		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00001944	Станция Топас-С 12 С 800                                        со скидкой	шт.	1	155 600	140 040	Топас-С		12		С	800	Топас	108 920	22 000	10 000	15 000		2,10	1,20	2,55	6	4,4	4,57	9,52					11,00	15,95	500	
00-00001945	Станция Топас-С 12 П 800                                        со скидкой	шт.	1	168 100	151 290	Топас-С		12		П	800	Топас	117 670	22 000	10 000	15 000		2,05	1,20	2,60	6	4,4	4,58	9,56					10,98	15,96	500	
00-00001946	Станция Топас-С 12 С 1400                                        со скидкой	шт.	1	174 900	157 410	Топас-С		12		С	1 400	Топас	122 430	25 000	10 000	15 000		2,10	1,20	3,10	6	4,3	5,39	11,33					13,20	19,14	800	
00-00001947	Станция Топас-С 12 П 1400                                        со скидкой	шт.	1	191 500	172 350	Топас-С		12		П	1 400	Топас	134 050	25 000	10 000	15 000		2,00	1,20	3,10	6	4,1	5,23	11,04					12,67	18,48	800	
00-00001948	Станция Топас-С 12 С 1400 Ус                                       со скидкой	шт.	1	201 300	181 170	Топас-С		12		С	1 400	Топас	140 910	25 000	10 000	15 000		2,11	1,40	3,10	6	5	5,75	11,97					14,91	21,13	800	
00-00001949	Станция Топас-С 12 П 1400 Ус                                       со скидкой	шт.	1	211 800	190 620	Топас-С		12		П	1 400	Топас	148 260	25 000	10 000	15 000		2,00	1,40	3,10	6	4,8	5,58	11,65					14,26	20,33	800	
00-00000464	Станция Астра 3 С 600                                       со скидкой	шт.	1	73 000	62 050	Астра		3		С	600	Астра	47 450	14 000	7 500	12 500		1,12	0,94	2,03	4	1,5	2,40	5,31					4,54	7,45	500	
00-00000336	Станция Астра 3 П 600                                       со скидкой	шт.	1	75 000	63 750	Астра		3		П	600	Астра	48 750	14 000	7 500	12 500		1,12	0,94	2,03	4	1,5	2,40	5,31					4,54	7,45	500	
00-00000337	Станция Астра 4 С 850                                       со скидкой	шт.	1	78 900	67 065	Астра		4		С	850	Астра	51 285	16 000	7 500	12 500		1,12	0,94	2,28	4	1,5	2,65	5,88					5,05	8,29	500	
00-00001950	Станция Астра 4 П 850                                       со скидкой	шт.	1	80 900	68 765	Астра		4		П	850	Астра	52 585	16 000	7 500	12 500		1,12	0,94	2,28	4	1,5	2,65	5,88					5,05	8,29	500	
00-00000338	Станция Астра 5 С 850                                       со скидкой	шт.	1	89 500	76 075	Астра		5		С	850	Астра	58 175	17 000	7 500	12 500		1,03	1,12	2,36	4	1,7	2,84	6,27					5,56	8,99	500	
00-00000339	Станция Астра 5 П 850                                       со скидкой	шт.	1	91 500	77 775	Астра		5		П	850	Астра	59 475	17 000	7 500	12 500		1,03	1,12	2,36	4	1,7	2,84	6,27					5,56	8,99	500	
00-00000340	Станция Астра 5 С 1000                                       со скидкой	шт.	1	91 700	77 945	Астра		5		С	1 000	Астра	59 605	17 000	7 500	12 500		1,03	1,12	2,50	4	1,7	2,98	6,60					5,87	9,49	600	
00-00000341	Станция Астра 5 П 1000                                       со скидкой	шт.	1	93 700	79 645	Астра		5		П	1 000	Астра	60 905	17 000	7 500	12 500		1,03	1,12	2,50	4	1,7	2,98	6,60					5,87	9,49	600	
00-00000342	Станция Астра 5 С 1500                                       со скидкой	шт.	1	114 100	96 985	Астра		5		С	1 500	Астра	74 165	20 000	7 500	12 500		1,16	1,00	3,00	4	1,7	3,51	7,81					6,99	11,29	800	
00-00000343	Станция Астра 5 П 1500                                       со скидкой	шт.	1	116 100	98 685	Астра		5		П	1 500	Астра	75 465	20 000	7 500	12 500		1,16	1,00	3,00	4	1,7	3,51	7,81					6,99	11,29	800	
00-00000344	Станция Астра 6 С 850                                       со скидкой	шт.	1	95 200	80 920	Астра		6		С	850	Астра	61 880	17 000	7 500	12 500		1,20	1,15	2,36	4	2,1	3,09	6,73					6,35	9,98	500	
00-00001951	Станция Астра 6 П 850                                       со скидкой	шт.	1	97 200	82 620	Астра		6		П	850	Астра	63 180	17 000	7 500	12 500		1,20	1,15	2,36	4	2,1	3,09	6,73					6,35	9,98	500	
00-00000345	Станция Астра 6 С 1000                                       со скидкой	шт.	1	97 500	82 875	Астра		6		С	1 000	Астра	63 375	17 000	7 500	12 500		1,20	1,15	2,50	4	2,1	3,25	7,08					6,70	10,53	600	
00-00001952	Станция Астра 6 П 1000                                       со скидкой	шт.	1	99 500	84 575	Астра		6		П	1 000	Астра	64 675	17 000	7 500	12 500		1,20	1,15	2,50	4	2,1	3,25	7,08					6,70	10,53	600	
00-00000346	Станция Астра 6 С 1500                                       со скидкой	шт.	1	114 800	97 580	Астра		6		С	1 500	Астра	74 620	20 000	7 500	12 500		1,20	1,16	3,00	4	2,1	3,81	8,37					7,99	12,54	800	
00-00001953	Станция Астра 6 П 1500                                       со скидкой	шт.	1	116 800	99 280	Астра		6		П	1 500	Астра	75 920	20 000	7 500	12 500		1,20	1,16	3,00	4	2,1	3,81	8,37					7,99	12,54	800	
00-00000347	Станция Астра 7 С 850                                       со скидкой	шт.	1	106 000	90 100	Астра		7		С	850	Астра	68 900	19 000	8 500	13 500		1,30	1,16	2,36	5	2,3	3,23	6,98					6,79	10,54	500	
00-00001954	Станция Астра 7 П 850                                       со скидкой	шт.	1	108 000	91 800	Астра		7		П	850	Астра	70 200	19 000	8 500	13 500		1,30	1,16	2,36	5	2,3	3,23	6,98					6,79	10,54	500	
00-00000348	Станция Астра 7 С 1000                                       со скидкой	шт.	1	107 500	91 375	Астра		7		С	1 000	Астра	69 875	19 000	8 500	13 500		1,30	1,16	2,50	5	2,3	3,39	7,34					7,16	11,11	600	
00-00001955	Станция Астра 7 П 1000                                       со скидкой	шт.	1	109 500	93 075	Астра		7		П	1 000	Астра	71 175	19 000	8 500	13 500		1,30	1,16	2,50	5	2,3	3,39	7,34					7,16	11,11	600	
00-00000349	Станция Астра 7 С 1500                                       со скидкой	шт.	1	124 000	105 400	Астра		7		С	1 500	Астра	80 600	22 000	8 500	13 500		1,30	1,16	3,00	5	2,3	3,96	8,65					8,49	13,17	800	
00-00001956	Станция Астра 7 П 1500                                       со скидкой	шт.	1	126 000	107 100	Астра		7		П	1 500	Астра	81 900	22 000	8 500	13 500		1,30	1,16	3,00	5	2,3	3,96	8,65					8,49	13,17	800	
00-00000350	Станция Астра 8 С 850                                       со скидкой	шт.	1	109 500	93 075	Астра		8		С	850	Астра	71 175	19 000	8 500	13 500		1,50	1,16	2,36	5	2,6	3,48	7,43					7,59	11,54	500	
00-00000351	Станция Астра 8 П 850                                       со скидкой	шт.	1	111 500	94 775	Астра		8		П	850	Астра	72 475	19 000	8 500	13 500		1,50	1,16	2,36	5	2,6	3,48	7,43					7,59	11,54	500	
00-00000352	Станция Астра 8 С 1000                                       со скидкой	шт.	1	112 500	95 625	Астра		8		С	1 000	Астра	73 125	19 000	8 500	13 500		1,50	1,16	2,50	5	2,6	3,65	7,82					8,00	12,17	600	
00-00000353	Станция Астра 8 П 1000                                       со скидкой	шт.	1	114 500	97 325	Астра		8		П	1 000	Астра	74 425	19 000	8 500	13 500		1,50	1,16	2,50	5	2,6	3,65	7,82					8,00	12,17	600	
00-00000354	Станция Астра 8 С 1500                                       со скидкой	шт.	1	125 000	106 250	Астра		8		С	1 500	Астра	81 250	22 000	8 500	13 500		1,50	1,16	3,00	5	2,6	4,26	9,21					9,48	14,43	800	
00-00000355	Станция Астра 8 П 1500                                       со скидкой	шт.	1	127 000	107 950	Астра		8		П	1 500	Астра	82 550	22 000	8 500	13 500		1,50	1,16	3,00	5	2,6	4,26	9,21					9,48	14,43	800	
00-00000356	Станция Астра 9 С 850                                       со скидкой	шт.	1	114 400	97 240	Астра		9		С	850	Астра	74 360	20 500	9 500	14 500		1,70	1,16	2,36	5	3	3,73	7,89					8,39	12,54	500	
00-00001957	Станция Астра 9 П 850                                       со скидкой	шт.	1	117 900	100 215	Астра		9		П	850	Астра	76 635	20 500	9 500	14 500		1,70	1,16	2,36	5	3	3,73	7,89					8,39	12,54	500	
00-00000357	Станция Астра 9 С 1000                                       со скидкой	шт.	1	117 000	99 450	Астра		9		С	1 000	Астра	76 050	20 500	9 500	14 500		1,70	1,16	2,50	5	3	3,92	8,30					8,85	13,23	600	
00-00001958	Станция Астра 9 П 1000                                       со скидкой	шт.	1	120 500	102 425	Астра		9		П	1 000	Астра	78 325	20 500	9 500	14 500		1,70	1,16	2,50	5	3	3,92	8,30					8,85	13,23	600	
00-00000358	Станция Астра 9 С 1500                                       со скидкой	шт.	1	130 500	110 925	Астра		9		С	1 500	Астра	84 825	23 500	9 500	14 500		1,70	1,16	3,00	5	3	4,57	9,76					10,48	15,68	800	
00-00001959	Станция Астра 9 П 1500                                       со скидкой	шт.	1	133 500	113 475	Астра		9		П	1 500	Астра	86 775	23 500	9 500	14 500		1,70	1,16	3,00	5	3	4,57	9,76					10,48	15,68	800	
00-00000359	Станция Астра 10 С 850                                       со скидкой	шт.	1	141 700	120 445	Астра		10		С	850	Астра	92 105	22 000	9 500	14 500		2,00	1,16	2,36	6	3,5	4,11	8,57					9,58	14,05	500	
00-00000360	Станция Астра 10 П 850                                       со скидкой	шт.	1	145 200	123 420	Астра		10		П	850	Астра	94 380	22 000	9 500	14 500		2,00	1,16	2,36	6	3,5	4,11	8,57					9,58	14,05	500	
00-00000361	Станция Астра 10 С 1000                                       со скидкой	шт.	1	143 700	122 145	Астра		10		С	1 000	Астра	93 405	22 000	9 500	14 500		2,00	1,16	2,50	6	3,5	4,31	9,02					10,11	14,82	600	
00-00000362	Станция Астра 10 П 1000                                       со скидкой	шт.	1	147 200	125 120	Астра		10		П	1 000	Астра	95 680	22 000	9 500	14 500		2,00	1,16	2,50	6	3,5	4,31	9,02					10,11	14,82	600	
00-00000363	Станция Астра 10 С 1500                                       со скидкой	шт.	1	161 100	136 935	Астра		10		С	1 500	Астра	104 715	25 000	9 500	14 500		2,00	1,16	3,00	6	3,5	5,02	10,60					11,98	17,56	800	
00-00000364	Станция Астра 10 П 1500                                       со скидкой	шт.	1	164 600	139 910	Астра		10		П	1 500	Астра	106 990	25 000	9 500	14 500		2,00	1,16	3,00	6	3,5	5,02	10,60					11,98	17,56	800	
00-00000436	Станция БиоПурит 3 С 630                                      со скидкой	шт.	1	72 990	62 990	БиоПурит		3		С	630	БиоПурит	51 093	14 000	7 500	12 500		1,20	1,20	1,75	4	1,3	3,01	5,82					4,99	7,80	500	
00-00000437	Станция БиоПурит 5 С 630                                      со скидкой	шт.	1	82 990	69 990	БиоПурит		5		С	630	БиоПурит	58 093	16 000	7 500	12 500		1,20	1,20	2,25	4	1,8	3,73	7,26					6,27	9,80	500	
00-00000438	Станция БиоПурит 5 С 1130                                      со скидкой	шт.	1	98 990	80 990	БиоПурит		5		С	1 130	БиоПурит	69 293	17 000	7 500	12 500		1,20	1,20	2,75	4	1,8	4,44	8,69					7,55	11,80	600	
00-00000439	Станция БиоПурит 8 С 630                                      со скидкой	шт.	1	99 990	81 990	БиоПурит		8		С	630	БиоПурит	69 993	18 000	8 500	13 500		1,60	1,60	2,25	5	3,3	5,28	9,59					9,80	14,11	500	
00-00000465	Станция БиоПурит 8 С 1130                                      со скидкой	шт.	1	122 990	97 990	БиоПурит		8		С	1 130	БиоПурит	86 093	19 000	8 500	13 500		1,60	1,60	2,75	5	3,3	6,27	11,46					11,80	16,99	600	
00-00000441	Станция БиоПурит 3 С 630 ВШУ                                     со скидкой	шт.	1	78 990	68 990	БиоПурит		3		С	630	БиоПурит	55 293	14 000	7 500	12 500		1,20	1,20	1,75	4	1,3	3,01	5,82					4,99	7,80	500	
00-00000442	Станция БиоПурит 5 С 630 ВШУ                                     со скидкой	шт.	1	88 990	75 990	БиоПурит		5		С	630	БиоПурит	62 293	16 000	7 500	12 500		1,20	1,20	2,25	4	1,8	3,73	7,26					6,27	9,80	500	
00-00000443	Станция БиоПурит 5 С 1130 ВШУ                                     со скидкой	шт.	1	104 990	86 990	БиоПурит		5		С	1 130	БиоПурит	73 493	17 000	7 500	12 500		1,20	1,20	2,75	4	1,8	4,44	8,69					7,55	11,80	600	
00-00000444	Станция БиоПурит 8 С 630 ВШУ                                     со скидкой	шт.	1	105 990	87 990	БиоПурит		8		С	630	БиоПурит	74 193	18 000	8 500	13 500		1,60	1,60	2,25	5	3,3	5,28	9,59					9,80	14,11	500	
00-00000445	Станция БиоПурит 8 С 1130 ВШУ                                     со скидкой	шт.	1	128 990	103 990	БиоПурит		8		С	1 130	БиоПурит	90 293	19 000	8 500	13 500		1,60	1,60	2,75	5	3,3	6,27	11,46					11,80	16,99	600	
00-00001960	Станция Евробион Русин 4 С 600	шт.	1	73000	65 700	Евробион Русин		4		С	600	ЕвроБион	48 180	15 000	7 500	12 500		1,00	1,00	2,38	3	1,4	3,19	6,49					5,06	8,36	500	
00-00001961	Станция Евробион Русин 4 П 600	шт.	1	80000	72 000	Евробион Русин		4		П	600	ЕвроБион	52 800	15 000	7 500	12 500		1,00	1,00	2,38	3	1,4	3,19	6,49					5,06	8,36	500	
00-00000475	Станция Евробион Русин 5 С 600	шт.	1	76 000	68 400	Евробион Русин		5		С	600	ЕвроБион	50 160	16 000	7 500	12 500		1,08	1,08	2,36	3	1,6	3,45	6,89					5,61	9,05	500	
00-00000476	Станция Евробион Русин 5 П 600	шт.	1	83 000	74 700	Евробион Русин		5		П	600	ЕвроБион	54 780	16 000	7 500	12 500		1,08	1,08	2,36	3	1,6	3,45	6,89					5,61	9,05	500	
00-00000477	Станция Евробион АРТ 4 С 600	шт.	1	82 000	73 800	Евробион АРТ		4		С	600	ЕвроБион	54 120	15 000	7 500	12 500		1,00	1,00	2,38	3	1,4	3,19	6,49					5,06	8,36	500	
00-00000478	Станция Евробион АРТ 5 С 600	шт.	1	85 000	76 500	Евробион АРТ		5		С	600	ЕвроБион	56 100	16 000	7 500	12 500		1,08	1,08	2,38	3	1,6	3,47	6,94					5,65	9,12	500	
00-00000479	Станция Евробион АРТ 5 П 600	шт.	1	91 000	81 900	Евробион АРТ		5		П	600	ЕвроБион	60 060	16 000	7 500	12 500		1,08	1,08	2,38	3	1,6	3,47	6,94					5,65	9,12	500	
00-00000480	Станция Евробион АРТ 5 С 900	шт.	1	91 700	82 530	Евробион АРТ		5		С	900	ЕвроБион	60 522	17 000	7 500	12 500		1,08	1,08	2,68	3	1,6	3,85	7,72					6,31	10,18	500	
00-00000481	Станция Евробион АРТ 5 П 900	шт.	1	97 700	87 930	Евробион АРТ		5		П	900	ЕвроБион	64 482	17 000	7 500	12 500		1,08	1,08	2,68	3	1,6	3,85	7,72					6,31	10,18	500	
00-00000482	Станция Евробион АРТ 5 С 1200	шт.	1	106 000	95 400	Евробион АРТ		5		С	1200	ЕвроБион	69 960	17 000	7 500	12 500		1,08	1,08	3,00	3	1,6	4,26	8,56					7,01	11,31	600	
00-00000483	Станция Евробион АРТ 5 П 1200	шт.	1	112 000	100 800	Евробион АРТ		5		П	1200	ЕвроБион	73 920	17 000	7 500	12 500		1,08	1,08	3,00	3	1,6	4,26	8,56					7,01	11,31	600	
00-00000484	Станция Евробион АРТ 5 С 1600	шт.	1	118 000	106 200	Евробион АРТ		5		С	1600	ЕвроБион	77 880	20 000	7 500	12 500		1,08	1,08	3,38	3	1,6	4,75	9,56					7,84	12,65	800	
00-00000485	Станция Евробион АРТ 5 П 1600	шт.	1	124 000	111 600	Евробион АРТ		5		П	1600	ЕвроБион	81 840	20 000	7 500	12 500		1,08	1,08	3,38	3	1,6	4,75	9,56					7,84	12,65	800	
00-00000486	Станция Евробион АРТ 8 С 600	шт.	1	115 000	103 500	Евробион АРТ		8		С	600	ЕвроБион	75 900	18 000	8 500	13 500		1,35	1,35	2,38	4	2,5	4,49	8,52					7,90	11,93	500	
00-00000487	Станция Евробион АРТ 8 П 600	шт.	1	121 000	108 900	Евробион АРТ		8		П	600	ЕвроБион	79 860	18 000	8 500	13 500		1,35	1,35	2,38	4	2,5	4,49	8,52					7,90	11,93	500	
00-00000488	Станция Евробион АРТ 8 С 900	шт.	1	121 000	108 900	Евробион АРТ		8		С	900	ЕвроБион	79 860	19 000	8 500	13 500		1,35	1,35	2,68	4	2,5	4,98	9,48					8,82	13,31	500	
00-00000489	Станция Евробион АРТ 8 П 900	шт.	1	127 000	114 300	Евробион АРТ		8		П	900	ЕвроБион	83 820	19 000	8 500	13 500		1,35	1,35	2,68	4	2,5	4,98	9,48					8,82	13,31	500	
00-00000490	Станция Евробион АРТ 8 С 1200	шт.	1	130 000	117 000	Евробион АРТ		8		С	1200	ЕвроБион	85 800	19 000	8 500	13 500		1,35	1,35	3,00	4	2,6	5,51	10,50					9,80	14,79	600	
00-00000491	Станция Евробион АРТ 8 П 1200	шт.	1	136 000	122 400	Евробион АРТ		8		П	1200	ЕвроБион	89 760	19 000	8 500	13 500		1,35	1,35	3,00	4	2,6	5,51	10,50					9,80	14,79	600	
00-00000492	Станция Евробион АРТ 8 С 1600	шт.	1	155 000	139 500	Евробион АРТ		8		С	1600	ЕвроБион	102 300	22 000	8 500	13 500		1,35	1,35	3,38	4	2,5	6,13	11,71					10,96	16,55	800	
00-00000493	Станция Евробион АРТ 8 П 1600	шт.	1	161 000	144 900	Евробион АРТ		8		П	1600	ЕвроБион	106 260	22 000	8 500	13 500		1,35	1,35	3,38	4	2,5	6,13	11,71					10,96	16,55	800	
00-00000494	Станция Евробион АРТ 10 С 600	шт.	1	143 000	128 700	Евробион АРТ		10		С	600	ЕвроБион	94 380	21 000	9 500	14 500		2,00	1,75	2,38	6	5,6	5,84	10,94					13,31	18,42	500	
00-00000495	Станция Евробион АРТ 10 П 600	шт.	1	149 000	134 100	Евробион АРТ		10		П	600	ЕвроБион	98 340	21 000	9 500	14 500		2,00	1,75	2,38	6	5,6	5,84	10,94					13,31	18,42	500	
00-00000496	Станция Евробион АРТ 10 С 750	шт.	1	150 000	135 000	Евробион АРТ		10		С	750	ЕвроБион	99 000	21 000	9 500	14 500		2,00	1,75	2,55	6	5,7	6,18	11,62					14,19	19,64	500	
00-00000497	Станция Евробион АРТ 10 П 750	шт.	1	156 000	140 400	Евробион АРТ		10		П	750	ЕвроБион	102 960	21 000	9 500	14 500		2,00	1,75	2,55	6	5,7	6,18	11,62					14,19	19,64	500	
00-00000498	Станция Евробион АРТ 10 С 1200	шт.	1	162 500	146 250	Евробион АРТ		10		С	1200	ЕвроБион	107 250	22 000	9 500	14 500		2,00	1,75	3,05	6	5,8	7,19	13,62					16,77	23,21	600	
00-00000499	Станция Евробион АРТ 10 П 1200	шт.	1	168 500	151 650	Евробион АРТ		10		П	1200	ЕвроБион	111 210	22 000	9 500	14 500		2,00	1,75	3,05	6	5,8	7,19	13,62					16,77	23,21	600	
00-00000500	Станция Евробион АРТ 15 С 600	шт.	1	172 000	154 800	Евробион АРТ		15		С	600	ЕвроБион	113 520	24 000	10 500	15 500		1,93	1,93	2,39	6	5,2	7,07	12,31					14,06	19,30	500	
00-00000501	Станция Евробион АРТ 15 П 600	шт.	1	178 000	160 200	Евробион АРТ		15		П	600	ЕвроБион	117 480	24 000	10 500	15 500		1,93	1,93	2,39	6	5,2	7,07	12,31					14,06	19,30	500	
00-00000502	Станция Евробион АРТ 15 С 750	шт.	1	178 800	160 920	Евробион АРТ		15		С	750	ЕвроБион	118 008	24 000	10 500	15 500		1,93	1,93	2,56	6	5,3	7,49	13,08					14,98	20,57	500	
00-00000503	Станция Евробион АРТ 15 П 750	шт.	1	184 800	166 320	Евробион АРТ		15		П	750	ЕвроБион	121 968	24 000	10 500	15 500		1,93	1,93	2,56	6	5,3	7,49	13,08					14,98	20,57	500	
00-00000504	Станция Евробион АРТ 15 С 1200	шт.	1	196 300	176 670	Евробион АРТ		15		С	1200	ЕвроБион	129 558	25 000	10 500	15 500		1,93	1,93	3,06	6	5,4	8,75	15,34					17,70	24,30	600	
00-00000505	Станция Евробион АРТ 15 П 1200	шт.	1	202 300	182 070	Евробион АРТ		15		П	1200	ЕвроБион	133 518	25 000	10 500	15 500		1,93	1,93	3,06	6	5,4	8,75	15,34					17,70	24,30	600	
00-00001962	Станция Евролос БИО 3	шт.	1	57 000	57 000	Евролос БИО		3			510	ЕвроЛос	39 900	14 000	7 500	12 500		1,40	1,40	1,80	4	2	3,71	6,91					6,48	9,68	500	
00-00001963	Станция Евролос БИО 3+ (пр)	шт.	1	64 000	64 000	Евролос БИО		3		+ (пр)	510	ЕвроЛос	44 800	14 000	7 500	12 500		1,40	1,40	1,80	4	2	3,71	6,91					6,48	9,68	500	
00-00001964	Станция Евролос БИО 4	шт.	1	62 000	62 000	Евролос БИО		4			510	ЕвроЛос	43 400	16 000	7 500	12 500		1,40	1,40	1,90	4	2,1	3,88	7,24					6,80	10,16	500	
00-00001965	Станция Евролос БИО 4+ (пр)	шт.	1	69 000	69 000	Евролос БИО		4		+ (пр)	510	ЕвроЛос	48 300	16 000	7 500	12 500		1,40	1,40	1,90	4	2,1	3,88	7,24					6,80	10,16	500	
#Н/Д	Станция Евролос БИО 4+ (пр) с доп. горловиной 40см	шт.	1	74 500	74 500	Евролос БИО		4		+ (пр) с доп. горловиной 40см	910	ЕвроЛос с горл	52 150	17 000	7 500	12 500		1,40	1,40	2,30	4	2,1	4,56	8,56	497,3918268	10	933,7554632	19	8,10	12,10	500	
00-00001966	Станция Евролос БИО 5	шт.	1	68 000	68 000	Евролос БИО		5			510	ЕвроЛос	47 600	16 000	7 500	12 500		1,40	1,40	2,00	4	2,3	4,05	7,57					7,13	10,65	500	
00-00001967	Станция Евролос БИО 5+ (пр)	шт.	1	74 000	74 000	Евролос БИО		5		+ (пр)	510	ЕвроЛос	51 800	16 000	7 500	12 500		1,40	1,40	2,00	4	2,3	4,05	7,57					7,13	10,65	500	
#Н/Д	Станция Евролос БИО 5+ (пр) с доп. горловиной 40см	шт.	1	79 500	79 500	Евролос БИО		5		+ (пр) с доп. горловиной 40см	910	ЕвроЛос с горл	55 650	17 000	7 500	12 500		1,40	1,40	2,40	4	2,3	4,73	8,89	515,9440407	11	969,7622225	20	8,42	12,58	500	
00-00001968	Станция Евролос БИО 6	шт.	1	76 000	76 000	Евролос БИО		6			510	ЕвроЛос	53 200	17 000	7 500	12 500		1,60	1,60	2,00	5	3	4,78	8,65					8,80	12,67	500	
00-00001969	Станция Евролос БИО 6+ (пр)	шт.	1	82 000	82 000	Евролос БИО		6		+ (пр)	510	ЕвроЛос	57 400	17 000	7 500	12 500		1,60	1,60	2,00	5	3	4,78	8,65					8,80	12,67	500	
#Н/Д	Станция Евролос БИО 6+ (пр) с доп. горловиной 40см	шт.	1	87 500	87 500	Евролос БИО		6		+ (пр) с доп. горловиной 40см	910	ЕвроЛос с горл	61 250	18 000	7 500	12 500		1,60	1,60	2,40	5	3	5,57	10,15	608,1287655	13	1107,328766	23	10,40	14,98	500	
00-00001970	Станция Евролос БИО 8	шт.	1	94 000	94 000	Евролос БИО		8			510	ЕвроЛос	65 800	18 000	8 500	13 500		1,80	1,80	2,00	5	3,8	5,56	9,78					10,65	14,87	500	
00-00001971	Станция Евролос БИО 8+ (пр)	шт.	1	97 000	97 000	Евролос БИО		8		+ (пр)	510	ЕвроЛос	67 900	18 000	8 500	13 500		1,80	1,80	2,00	5	3,8	5,56	9,78					10,65	14,87	500	
#Н/Д	Станция Евролос БИО 8+ (пр) с доп. горловиной 40см	шт.	1	102 500	102 500	Евролос БИО		8		+ (пр) с доп. горловиной 40см	910	ЕвроЛос с горл	71 750	19 000	8 500	13 500		1,80	1,80	2,40	5	3,8	6,48	11,47	706,553878	15	1251,135696	26	12,58	17,58	500	
00-00001972	Станция Евролос БИО 10	шт.	1	116 000	116 000	Евролос БИО		10			510	ЕвроЛос	81 200	21 000	9 500	14 500		2,00	2,00	2,00	6	4,7	6,39	10,96					12,67	17,25	500	
00-00001973	Станция Евролос БИО 10+ (пр)	шт.	1	125 000	125 000	Евролос БИО		10		+ (пр)	510	ЕвроЛос	87 500	21 000	9 500	14 500		2,00	2,00	2,00	6	4,7	6,39	10,96					12,67	17,25	500	
00-00001974	Станция Евролос БИО 12	шт.	1	129 000	129 000	Евролос БИО		12			510	ЕвроЛос	90 300	22 000	10 000	15 000		2,00	2,00	2,25	6	5,5	7,04	12,14					14,11	19,21	500	
00-00001975	Станция Евролос БИО 12+ (пр)	шт.	1	136 000	136 000	Евролос БИО		12		+ (пр)	510	ЕвроЛос	95 200	22 000	10 000	15 000		2,00	2,00	2,25	6	5,5	7,04	12,14					14,11	19,21	500	
#Н/Д	Станция Евролос БИО 12+ (пр) с доп. горловиной 40см	шт.	1	141 500	141 500	Евролос БИО		12		+ (пр) с доп. горловиной 40см	910	ЕвроЛос с горл	99 050	23 000	10 000	15 000		2,00	2,00	2,65	6	5,5	8,09	14,02	882,6304874	18	1529,321397	31	16,42	22,34	500	
00-00001976	Станция Евролос БИО 15	шт.	1	146 000	146 000	Евролос БИО		15			510	ЕвроЛос	102 200	24 000	10 500	15 500		2,00	2,00	2,70	6	6,9	8,22	14,25					16,70	22,74	500	
00-00001977	Станция Евролос БИО 15+ (пр)	шт.	1	155 000	155 000	Евролос БИО		15		+ (пр)	510	ЕвроЛос	108 500	24 000	10 500	15 500		2,00	2,00	2,70	6	6,9	8,22	14,25					16,70	22,74	500	
00-00000446	Станция Коло Веси 3  600                                       со скидкой	шт.	1	109 800	104 310	Коло Веси		3			600	Коло Веси	54 900	14 000	7 500	12 500		1,00	1,00	2,18	3	1,2	2,95	6,00	221,4474003	5	449,9274003	9	4,66	7,71	500	
00-00000447	Станция Коло Веси 3  600 НК                                      со скидкой	шт.	1	119 900	113 905	Коло Веси		3			600	Коло Веси	59 950	14 000	7 500	12 500		1,40	1,40	1,68	4	1,7	3,51	6,51	262,8780696	6	488,4780696	10	6,09	9,10	500	
00-00000453	Станция Коло Веси 3  900                                       со скидкой	шт.	1	116 800	110 960	Коло Веси		3			900	Коло Веси	58 400	15 000	7 500	12 500		1,00	1,00	2,48	3	1,2	3,31	6,74	247,8759416	5	505,1559416	11	5,25	8,68	500	
00-00000457	Станция Коло Веси 3  1200                                       со скидкой	шт.	1	119 800	113 810	Коло Веси		3			1 200	Коло Веси	59 900	17 000	7 500	12 500		1,00	1,00	2,78	3	1,2	3,66	7,47	274,3044829	6	560,3844829	12	5,84	9,66	600	
